Calibration_1,AccX_1,AccY_1,AccZ_1,Roll_1,Pitch_1,Yaw_1,QuatW_1,QuatX_1,QuatY_1,QuatZ_1,Calibration_2,AccX_2,AccY_2,AccZ_2,Roll_2,Pitch_2,Yaw_2,QuatW_2,QuatX_2,QuatY_2,QuatZ_2
0.0,4.56,-3.44,40.63,4.56,-3.44,40.63,0.94,-0.34,0.05,-0.05,0.0,2.81,52.25,-86.56,2.81,52.25,-86.56,0.72,0.4,-0.56,-0.02
0.0,7.81,-4.5,41.38,7.81,-4.5,41.38,0.93,-0.35,0.07,-0.08,0.0,3.31,53.88,-85.94,3.31,53.88,-85.94,0.72,0.39,-0.58,-0.02
0.0,12.31,-5.5,44.44,12.31,-5.5,44.44,0.91,-0.38,0.1,-0.11,0.0,5.25,54.13,-87.12,5.25,54.13,-87.12,0.72,0.38,-0.59,-0.04
0.0,16.69,-6.69,48.81,16.69,-6.69,48.81,0.89,-0.41,0.13,-0.14,0.0,7.19,54.0,-87.06,7.19,54.0,-87.06,0.72,0.37,-0.59,-0.05
0.0,20.44,-7.56,54.44,20.44,-7.56,54.44,0.86,-0.45,0.16,-0.16,0.0,10.88,52.75,-84.81,10.88,52.75,-84.81,0.73,0.36,-0.58,-0.08
0.0,22.5,-7.69,60.69,22.5,-7.69,60.69,0.84,-0.49,0.17,-0.17,0.0,13.88,51.25,-82.37,13.88,51.25,-82.37,0.73,0.35,-0.57,-0.09
0.0,22.44,-6.38,67.25,22.44,-6.38,67.25,0.82,-0.53,0.17,-0.16,0.0,13.81,50.75,-79.25,13.81,50.75,-79.25,0.74,0.35,-0.56,-0.09
0.0,19.75,-5.63,73.37,19.75,-5.63,73.37,0.79,-0.58,0.16,-0.14,0.0,12.19,50.5,-76.37,12.19,50.5,-76.37,0.75,0.35,-0.55,-0.08
0.0,15.25,-4.38,77.44,15.25,-4.38,77.44,0.77,-0.61,0.13,-0.1,0.0,11.31,50.19,-74.75,11.31,50.19,-74.75,0.76,0.35,-0.54,-0.07
0.0,11.31,-4.88,79.62,11.31,-4.88,79.62,0.76,-0.63,0.12,-0.06,0.0,10.81,49.31,-72.94,10.81,49.31,-72.94,0.77,0.36,-0.52,-0.07
0.0,8.0,-5.88,79.0,8.0,-5.88,79.0,0.78,-0.62,0.1,-0.05,0.0,10.56,48.38,-71.69,10.56,48.38,-71.69,0.78,0.36,-0.51,-0.07
0.0,8.69,-3.88,71.31,8.69,-3.88,71.31,0.83,-0.55,0.09,-0.07,0.0,9.75,47.88,-71.69,9.75,47.88,-71.69,0.77,0.37,-0.51,-0.06
0.0,11.69,-5.06,60.13,11.69,-5.06,60.13,0.87,-0.47,0.11,-0.1,0.0,8.38,47.81,-73.81,8.38,47.81,-73.81,0.76,0.39,-0.51,-0.05
0.0,16.0,-6.81,52.69,16.0,-6.81,52.69,0.89,-0.42,0.14,-0.13,0.0,7.38,47.63,-77.0,7.38,47.63,-77.0,0.75,0.41,-0.51,-0.05
0.0,16.44,-10.5,51.06,16.44,-10.5,51.06,0.89,-0.41,0.17,-0.13,0.0,6.13,47.63,-79.44,6.13,47.63,-79.44,0.75,0.42,-0.52,-0.04
0.0,14.63,-13.63,53.5,14.63,-13.63,53.5,0.88,-0.43,0.2,-0.09,0.0,4.63,48.0,-82.5,4.63,48.0,-82.5,0.74,0.43,-0.52,-0.03
0.0,8.0,-18.56,57.94,8.0,-18.56,57.94,0.86,-0.45,0.22,-0.04,0.0,4.75,47.31,-87.75,4.75,47.31,-87.75,0.72,0.45,-0.53,-0.03
0.0,358.81,-20.62,57.56,358.81,-20.62,57.56,0.87,-0.46,0.18,0.03,0.0,4.81,46.25,-93.37,4.81,46.25,-93.37,0.69,0.48,-0.54,-0.03
0.0,348.81,-18.56,51.88,348.81,-18.56,51.88,0.89,-0.43,0.14,0.09,0.0,4.88,44.56,-99.56,4.88,44.56,-99.56,0.66,0.51,-0.55,-0.03
0.0,336.56,-15.19,43.69,336.56,-15.19,43.69,0.9,-0.38,0.07,0.19,0.0,6.56,42.56,-106.12,6.56,42.56,-106.12,0.63,0.53,-0.57,-0.04
0.0,324.06,-10.56,36.19,324.06,-10.56,36.19,0.9,-0.32,-0.0,0.29,0.0,10.19,39.06,-109.87,10.19,39.06,-109.87,0.6,0.56,-0.57,-0.06
0.0,310.69,-4.88,30.0,310.69,-4.88,30.0,0.88,-0.25,-0.07,0.4,0.0,11.38,38.0,-111.06,11.38,38.0,-111.06,0.6,0.56,-0.57,-0.06
0.0,302.63,0.44,27.12,302.63,0.44,27.12,0.84,-0.17,-0.15,0.49,0.0,15.75,35.88,-108.0,15.75,35.88,-108.0,0.61,0.56,-0.56,-0.1
0.0,296.94,12.94,21.69,296.94,12.94,21.69,0.83,-0.06,-0.21,0.52,0.0,21.37,32.44,-107.37,21.37,32.44,-107.37,0.6,0.57,-0.55,-0.12
